Wall time,Step,Value
1521237565.900261,2241,2260.0
1521237633.7040434,2242,2100.0
1521237769.4189231,2244,2280.0
1521237907.8598433,2246,2420.0
1521237969.2212534,2247,1820.0
1521238260.5914466,2251,3950.0
1521238482.1424973,2254,2740.0
1521238672.4032958,2257,1320.0
1521239011.1826887,2262,3300.0
1521239875.9805198,2274,1700.0
1521240160.8414176,2278,2980.0
1521240402.6297731,2281,2960.0
1521241174.6701663,2291,4440.0
1521241556.2536104,2297,2260.0
1521241629.828608,2298,2400.0
1521241784.6425416,2300,4140.0
1521241963.4909089,2303,820.0
1521242201.290827,2306,2700.0
1521242269.9763021,2307,2480.0
1521242367.4942718,2308,3300.0
1521243115.4544992,2318,2440.0
1521243200.3008342,2319,2820.0
1521243275.2462084,2320,3200.0
1521243450.7590835,2322,2880.0
1521244410.351652,2334,1840.0
1521244484.656363,2335,2460.0
1521244538.9281774,2336,1820.0
1521244610.188939,2337,3530.0
1521245154.16969,2345,2800.0
1521245856.1369712,2354,2440.0
1521247232.1974597,2371,5010.0
1521248242.0414076,2385,1320.0
1521248432.6924868,2388,2760.0
1521248482.9936867,2389,1460.0
1521248575.4353113,2390,3660.0
1521248728.7082696,2392,2680.0
1521249337.7266672,2400,2240.0
1521249498.625065,2402,2820.0
1521249662.2668152,2404,4800.0
1521249781.1368256,2406,2360.0
1521250620.445554,2416,3100.0
1521251189.904381,2424,2640.0
1521251259.41049,2425,3180.0
1521252240.1991668,2436,4480.0
1521252883.7025492,2444,4380.0
1521253384.0566316,2450,1800.0
1521253459.479977,2451,2600.0
1521253613.4873385,2453,2910.0
1521253761.8125553,2455,2320.0
1521254134.9574072,2460,3220.0
1521255710.8492973,2479,3960.0
1521255864.811358,2481,4180.0
1521256225.2511475,2485,3320.0
1521256297.5827045,2486,2260.0
1521257142.9863787,2496,5860.0
1521257304.2541273,2498,2080.0
1521257559.8607817,2501,9750.0
1521257667.6713824,2502,4640.0
1521257749.3304195,2503,2740.0
1521258577.4859731,2513,4020.0
1521258627.4151855,2514,1400.0
1521258836.8235743,2517,560.0
1521259003.3038895,2519,2440.0
1521259382.6869338,2523,5410.0
1521259547.2526374,2525,4610.0
1521259769.5585845,2528,3630.0
1521259953.8861818,2530,5220.0
1521260104.066449,2532,4490.0
1521260313.52354,2534,6550.0
1521260839.6886764,2543,2040.0
1521261161.972629,2547,3870.0
1521261498.312556,2551,2420.0
1521261656.5670125,2553,5060.0
1521261837.8031936,2556,3440.0
1521262117.6062357,2559,5490.0
1521262666.0261407,2565,6450.0
1521262746.0092793,2566,2780.0
1521263096.4774487,2570,2600.0
1521263342.9701786,2573,2380.0
1521263620.0970197,2576,3020.0
1521263776.531268,2578,4420.0
1521264562.5469675,2587,3180.0
1521264834.811227,2590,4290.0
1521264952.6462436,2591,5540.0
1521265051.0355806,2592,4970.0
1521265162.8461478,2593,6410.0
1521265406.7554066,2596,2000.0
1521265757.0861967,2600,3920.0
1521266251.5196154,2606,4170.0
1521266337.6356285,2607,2860.0
1521266571.7277315,2610,2840.0
1521267206.0543208,2618,1360.0
1521267619.6424239,2623,3120.0
1521267899.7731109,2626,2640.0
1521268139.965922,2629,1900.0
1521268221.759132,2630,2680.0
1521268347.5291522,2632,2400.0
1521268602.9755025,2635,2900.0
1521268668.6116703,2636,2040.0
1521268828.501112,2638,6400.0
1521269344.780421,2644,2000.0
1521269652.6477702,2647,1860.0
1521269919.3379743,2650,6640.0
1521270005.4635944,2651,3300.0
1521270342.6796622,2655,4970.0
1521271855.0873163,2674,3820.0
1521272130.7267554,2678,1980.0
1521272228.8407109,2680,1280.0
1521272672.8304944,2685,3580.0
1521273013.9013922,2690,3340.0
1521273795.6946118,2699,7620.0
1521274112.418637,2703,5400.0
1521274450.9227586,2707,5270.0
1521274678.2623518,2710,3500.0
1521275793.0235453,2725,3780.0
1521276504.2253366,2736,1500.0
1521276577.9992566,2737,3310.0
1521276843.542326,2740,3320.0
1521277329.3064137,2746,3020.0
1521277828.1128614,2753,7090.0
1521277910.8330252,2754,5490.0
1521277985.1357846,2755,3560.0
1521278058.1993828,2756,3500.0
1521278133.4978693,2757,4420.0
1521278187.96872,2758,1880.0
1521278850.3816018,2766,6140.0
1521280657.3103201,2789,6230.0
1521280752.9899473,2790,5510.0
1521280803.6800907,2791,2580.0
1521281433.3722901,2798,4770.0
1521282279.2739425,2809,6210.0
1521282438.6406827,2811,2680.0
1521283290.265964,2823,3630.0
1521283386.5351546,2824,5500.0
1521283670.7012038,2827,3980.0
1521283778.675823,2829,1140.0
1521283841.1622863,2830,2460.0
1521283935.081442,2832,1520.0
1521285197.1505423,2851,3990.0
1521285612.479517,2856,4700.0
1521285834.8508656,2859,3530.0
1521286026.510337,2862,3050.0
1521286729.344919,2871,4360.0
1521286826.0168815,2872,5310.0
1521287287.613488,2878,4460.0
1521287447.245538,2880,2700.0
1521287531.9490254,2881,3120.0
1521287944.545535,2887,1700.0
1521288183.390489,2890,4860.0
1521288263.0563042,2891,2980.0
1521288625.5642264,2896,3780.0
1521288794.536939,2898,4670.0
1521288969.4622872,2900,4100.0
1521289207.99892,2903,1820.0
1521289310.797859,2904,6750.0
1521290012.5329804,2912,3880.0
1521290444.2378614,2917,2480.0
1521290576.8640757,2919,1980.0
1521290682.7013416,2920,6520.0
1521290758.961483,2921,4030.0
1521291676.4907305,2932,2800.0
1521292390.7383463,2942,5050.0
1521292987.2553644,2950,1920.0
1521294365.807078,2967,5050.0
1521294799.7683837,2972,5900.0
1521294930.5375552,2974,3220.0
1521295008.5498776,2975,3560.0
1521295201.7370799,2978,3240.0
1521295980.0740573,2988,3140.0
1521296471.0695329,2994,4590.0
1521296764.4295971,2998,3810.0
1521297085.5579526,3003,2580.0
1521297256.4535484,3005,6640.0
1521297391.557836,3007,5700.0
1521297541.4018247,3009,5800.0
1521297740.2588205,3011,7750.0
1521298090.6017911,3015,7650.0
1521298167.5939195,3016,2680.0
1521298365.7155004,3019,4940.0
1521298545.2695465,3021,5610.0
1521298845.189383,3025,3000.0
1521299003.3482425,3027,2680.0
1521299244.7656658,3030,4380.0
1521299314.7185087,3031,5680.0
1521299485.5415852,3033,4400.0
1521299903.708093,3038,2840.0
1521300086.8158333,3040,5180.0
1521300134.932747,3041,1580.0
1521300211.9604023,3042,7340.0
1521300807.5136688,3050,1940.0
1521301643.6997182,3062,4140.0
1521301806.729186,3065,1040.0
1521301909.8085763,3067,3370.0
1521302091.347043,3069,5950.0
1521302217.3976514,3071,2690.0
1521302351.8102195,3073,3670.0
1521303080.485366,3082,6330.0
1521303359.4631467,3086,4580.0
1521303526.3483462,3088,5050.0
1521303737.504011,3091,1060.0
1521304331.6717036,3099,7050.0
1521304670.6587012,3103,4890.0
1521304996.2977664,3107,5450.0
1521305431.034232,3113,4910.0
1521306175.5063524,3122,7130.0
1521306513.4377842,3127,2160.0
1521307046.430817,3134,4590.0
1521307231.2976682,3137,3580.0
1521307266.845747,3138,880.0
1521307612.094569,3144,2840.0
1521307661.9500737,3145,1480.0
1521307836.568423,3147,7190.0
1521308021.5737658,3150,3460.0
1521308268.9987898,3155,220.0
1521308441.1708107,3158,7240.0
1521308480.791754,3159,1100.0
1521308554.3390207,3161,2720.0
1521309491.7796888,3177,6070.0
1521309956.7479064,3184,3710.0
1521310167.9934702,3187,4500.0
1521310269.2900274,3188,4100.0
1521310748.9817529,3195,2660.0
1521310804.1981435,3196,3000.0
1521310912.5085702,3197,7160.0
1521310962.6916385,3198,1480.0
1521311287.7242684,3203,3990.0
1521311515.237768,3206,8120.0
1521312974.1475265,3230,8360.0
1521313141.87528,3233,4050.0
1521313255.551797,3235,5400.0
1521313567.4281335,3240,6720.0
1521313770.8255768,3243,2560.0
1521313827.1005008,3244,1940.0
1521313980.632834,3246,2580.0
1521314040.1127176,3247,3160.0
1521314493.8762796,3254,5780.0
1521314575.8388638,3256,1240.0
1521314738.8286023,3258,6540.0
1521315440.1123834,3267,4060.0
