Wall time,Step,Value
1521245154.249336,5871,300.0
1521245666.381563,5898,1275.0
1521245837.2367463,5907,825.0
1521246209.9922698,5928,825.0
1521246639.8845751,5952,675.0
1521246733.058863,5957,4075.0
1521246841.9098494,5963,500.0
1521247361.070633,5990,800.0
1521247716.791342,6010,775.0
1521247812.095618,6015,525.0
1521248095.764568,6030,4075.0
1521248199.010661,6035,825.0
1521248630.1159694,6060,625.0
1521248991.7993097,6078,575.0
1521249080.1602387,6082,825.0
1521249171.6614785,6087,4150.0
1521249466.6313558,6103,425.0
1521249506.6126807,6105,3950.0
1521249797.278238,6121,4175.0
1521249837.476912,6123,4100.0
1521249937.2306523,6129,775.0
1521249961.6676822,6131,675.0
1521249996.6577003,6133,750.0
1521250228.6011035,6145,4150.0
1521250289.063339,6149,750.0
1521250736.3117733,6172,4100.0
1521250874.6025112,6181,825.0
1521250932.2817776,6184,825.0
1521251224.4393456,6200,800.0
1521251416.3346632,6211,775.0
1521251452.549912,6213,800.0
1521251561.162837,6219,425.0
1521251798.7346745,6232,800.0
1521252129.1722078,6250,4900.0
1521252883.3474627,6289,525.0
1521253298.894927,6312,775.0
1521253368.984392,6316,225.0
1521253389.692942,6317,825.0
1521253501.6834693,6324,800.0
1521253812.607618,6341,775.0
1521253994.942316,6352,425.0
1521254197.877535,6363,775.0
1521254331.233888,6370,825.0
1521254450.185791,6376,825.0
1521254881.7744036,6400,500.0
1521255861.9726145,6455,725.0
1521255929.6670344,6459,825.0
1521256141.656625,6472,825.0
1521256379.0513854,6487,675.0
1521256539.1444616,6495,400.0
1521256555.2726817,6496,750.0
1521256673.5640547,6500,4700.0
1521256857.131909,6510,825.0
1521257061.0891514,6520,550.0
1521257076.160878,6521,800.0
1521257097.6209521,6522,525.0
1521257260.7963798,6530,500.0
1521257606.483215,6550,825.0
1521258040.7011583,6574,825.0
1521258180.890589,6581,825.0
1521258239.450845,6584,800.0
1521258605.5654144,6603,825.0
1521258857.8716834,6616,4075.0
1521258961.3003047,6621,825.0
1521259781.7838645,6657,825.0
1521259967.5263846,6666,825.0
1521259998.5523794,6668,375.0
1521260093.9347763,6672,550.0
1521260237.014565,6678,550.0
1521260307.3076046,6681,500.0
1521260441.7484367,6688,575.0
1521260584.047153,6696,550.0
1521260641.91074,6699,800.0
1521260881.602005,6711,4200.0
1521261414.2588642,6738,4250.0
1521261485.8925145,6742,575.0
1521261696.2195802,6753,4300.0
1521261921.7532382,6764,4075.0
1521262150.2824037,6776,4350.0
1521263208.9517915,6832,4075.0
1521263479.1373017,6846,4225.0
1521263658.1133459,6854,775.0
1521263941.6066647,6868,775.0
1521263961.7183523,6869,1300.0
1521264457.2536678,6895,825.0
1521264760.186054,6909,825.0
1521265219.5353038,6934,4175.0
1521265755.313214,6963,4300.0
1521265813.0769727,6966,700.0
1521266282.7339668,6992,275.0
1521266640.4253728,7010,800.0
1521266726.240146,7014,800.0
1521267205.9107685,7039,1300.0
1521267360.348053,7046,775.0
1521267737.9093304,7065,500.0
1521268272.9655676,7091,825.0
1521268568.6748166,7106,450.0
1521268719.7309585,7114,4275.0
1521268736.3429556,7115,825.0
1521269175.7344635,7137,4250.0
1521269235.2121892,7141,425.0
1521269495.733872,7155,800.0
1521269727.4302092,7167,4200.0
1521269877.917316,7175,825.0
1521270130.7275338,7189,775.0
1521270254.5169463,7195,4000.0
1521270403.1379795,7204,4200.0
1521270578.1055565,7213,4575.0
1521270624.0163386,7215,850.0
1521270643.868144,7216,4200.0
1521270989.8074722,7235,4175.0
1521271064.6033304,7238,4350.0
1521271261.8138182,7247,4100.0
1521271965.2780144,7284,825.0
1521272269.0678372,7300,4250.0
1521272498.4681683,7311,825.0
1521272859.3068862,7329,500.0
1521273073.1052885,7339,4075.0
1521273090.9843757,7340,800.0
1521273206.5036447,7346,775.0
1521273340.668329,7353,4075.0
1521273428.6034977,7358,4125.0
1521273448.5510921,7359,825.0
1521273918.0571153,7382,450.0
1521274002.1268313,7386,4050.0
1521274304.6949914,7401,800.0
1521274961.5145884,7431,3850.0
1521275133.9627166,7440,475.0
1521275182.540271,7443,600.0
1521275334.0435858,7450,4075.0
1521275566.1600602,7460,4150.0
1521275589.357248,7461,4225.0
1521275625.8658645,7463,825.0
1521275719.6335342,7468,850.0
